date,SearchFrequency
2017-11-15,14
2017-11-16,16
2017-11-17,16
2017-11-18,11
2017-11-19,10
2017-11-20,14
2017-11-21,16
2017-11-22,13
2017-11-23,12
2017-11-24,11
2017-11-25,12
2017-11-26,18
2017-11-27,26
2017-11-28,29
2017-11-29,52
2017-11-30,45
2017-12-01,30
2017-12-02,20
2017-12-03,22
2017-12-04,28
2017-12-05,27
2017-12-06,37
2017-12-07,73
2017-12-08,62
2017-12-09,39
2017-12-10,40
2017-12-11,51
2017-12-12,46
2017-12-13,39
2017-12-14,35
2017-12-15,31
2017-12-16,29
2017-12-17,31
2017-12-18,39
2017-12-19,44
2017-12-20,56
2017-12-21,48
2017-12-22,100
2017-12-23,51
2017-12-24,41
2017-12-25,33
2017-12-26,34
2017-12-27,31
2017-12-28,34
2017-12-29,27
2017-12-30,27
2017-12-31,22
2018-01-01,20
2018-01-02,27
2018-01-03,27
2018-01-04,26
2018-01-05,23
2018-01-06,19
2018-01-07,18
2018-01-08,25
2018-01-09,25
2018-01-10,28
2018-01-11,33
2018-01-12,24
2018-01-13,18
2018-01-14,19
2018-01-15,21
2018-01-16,55
2018-01-17,67
2018-01-18,42
2018-01-19,30
2018-01-20,19
2018-01-21,23
2018-01-22,29
2018-01-23,28
2018-01-24,23
2018-01-25,21
2018-01-26,22
2018-01-27,16
2018-01-28,16
2018-01-29,17
2018-01-30,23
2018-01-31,26
2018-02-01,34
2018-02-02,47
2018-02-03,25
2018-02-04,21
2018-02-05,53
2018-02-06,66
2018-02-07,38
2018-02-08,32
2018-02-09,28
2018-02-10,18
2018-02-11,15
2018-02-12,19
2018-02-13,18
2018-02-14,18
2018-02-15,19
2018-02-16,19
2018-02-17,13
2018-02-18,13
2018-02-19,14
2018-02-20,17
2018-02-21,19
2018-02-22,18
2018-02-23,14
2018-02-24,11
2018-02-25,10
2018-02-26,13
2018-02-27,13
2018-02-28,12
2018-03-01,13
2018-03-02,11
2018-03-03,10
2018-03-04,8
2018-03-05,11
2018-03-06,11
2018-03-07,15
2018-03-08,14
2018-03-09,18
2018-03-10,9
2018-03-11,9
2018-03-12,11
2018-03-13,11
2018-03-14,15
2018-03-15,17
2018-03-16,12
2018-03-17,11
2018-03-18,16
2018-03-19,16
2018-03-20,14
2018-03-21,12
